_id,avg_rating,contact,currentDelivery.city,currentDelivery.houseNumber,currentDelivery.locationId,currentDelivery.state,currentDelivery.streetName,currentDelivery.streetNumber,dob,firstName,gender,lastName,locationId,status,vehicle.type,vehicle.vehicleNumber
54,3.333329916000366,16880930 2592,Bangkok,257,59,DE,1980 Proin Avenue,0634 MT,1991-02-19T08:00:00.000Z,Hop,m,Guy,59,Y,4 Wheeler,1566117599
55,1,16941205 2780,Bangkok,135,54,Maule,"P.O. Box 225, 9913 Quam Avenue",13380,1995-08-20T07:00:00.000Z,Christian,f,Mathews,54,N,4 Wheeler,55380246099
56,null,16480630 1901,Bangkok,936,65,GO,1744 Laoreet Street,41854,1982-05-22T07:00:00.000Z,Paul,m,Gonzales,65,N,2 Wheeler,84858796999
57,1,16841001 3265,Bangkok,496,1,Saskatchewan,1864 Rutrum. Street,73432-706,2000-08-05T07:00:00.000Z,Amela,m,Puckett,1,N,Cycle,18846836699
58,3,16950908 9828,Bangkok,934,28,Wiltshire,109-2313 Sed Road,BS9L 2YQ,1983-01-07T08:00:00.000Z,Hyatt,m,Murphy,28,Y,4 Wheeler,32736219599
59,2.5,16500628 4839,Bangkok,195,29,New South Wales,8226 Nullam Street,06223-025,1986-11-02T08:00:00.000Z,Brielle,f,Flowers,29,Y,4 Wheeler,62842615699
60,null,16390325 0870,Bangkok,713,31,Overijssel,558-1193 Lobortis Av.,55635,1993-04-21T07:00:00.000Z,Beverly,m,Head,31,N,Cycle,1868239399
61,1.5,16270326 3778,Bangkok,830,62,Oyo,1816 Habitant St.,2755,1979-12-26T08:00:00.000Z,Baxter,f,Head,62,N,4 Wheeler,5663593999
62,null,16980609 4133,Bangkok,610,43,Ada,690-9023 Donec St.,9492,1999-09-13T07:00:00.000Z,Willow,m,Valdez,43,N,4 Wheeler,90537848599
63,null,16330320 6092,Bangkok,722,99,Gävleborgs län,"8477 Nec, Rd.",209979,1994-11-22T08:00:00.000Z,Fleur,m,Perkins,99,Y,4 Wheeler,94536327399
64,4,16331201 4545,Bangkok,802,35,BA,Ap #991-3175 Tristique St.,905574,1987-08-06T07:00:00.000Z,Mufutau,m,Hurley,35,N,4 Wheeler,53207466899
65,2.666670083999634,16031129 3534,Bangkok,141,6,Gelderland,"P.O. Box 873, 291 Enim Road",60315,1986-01-14T08:00:00.000Z,Amery,m,Wagner,6,Y,2 Wheeler,94467774499
66,1,16710202 8003,Bangkok,61,25,ULY,Ap #148-5889 Fermentum Av.,704323,1995-04-24T07:00:00.000Z,Dora,m,Reilly,25,N,Cycle,25779698699
67,3,16531224 1515,Bangkok,801,5,Yukon,"Ap #636-7151 Ut, Avenue",426059,1984-03-30T08:00:00.000Z,Farrah,f,Berger,5,Y,Cycle,19535566199
68,5,16180123 9177,Bangkok,242,51,Bolívar,9746 Erat Street,9356,1992-11-21T08:00:00.000Z,Tucker,f,Golden,51,N,4 Wheeler,28726839799
69,3,16470113 6618,Bangkok,336,52,Rio de Janeiro,Ap #581-3556 Ullamcorper Street,66030,1998-12-03T08:00:00.000Z,Yael,m,Chaney,52,Y,4 Wheeler,86767323599
70,4,16741111 9980,Bangkok,563,88,WB,368-2339 Orci Av.,6936,1976-10-31T07:00:00.000Z,Carson,m,Silva,88,Y,Cycle,88498794699
71,4,16990925 4220,Bangkok,804,12,Nord-Pas-de-Calais,6233 Suspendisse St.,143351,1976-08-10T07:00:00.000Z,Nerea,f,Holt,12,Y,2 Wheeler,37484043499
72,null,16600710 5585,Bangkok,692,83,MUR,"P.O. Box 923, 1320 Interdum Ave",32886,1978-01-22T08:00:00.000Z,Theodore,f,Hubbard,83,Y,4 Wheeler,73983777499
73,2,16350308 2095,Bangkok,219,64,Saarland,318-3243 Quam. Ave,78131,1996-09-07T07:00:00.000Z,Leandra,f,Pollard,64,N,Cycle,54630661399
74,null,16441102 4500,Bangkok,894,13,SO,"P.O. Box 665, 5475 Interdum. St.",19048,1984-11-02T08:00:00.000Z,Stacy,m,Walsh,13,N,4 Wheeler,34345144299
75,null,16460202 7445,Bangkok,659,68,Manitoba,Ap #171-8877 Nunc Av.,06743,2000-03-26T08:00:00.000Z,Channing,f,Hester,68,Y,Cycle,56798712299
76,4.5,16040313 5551,Bangkok,219,64,Saarland,318-3243 Quam. Ave,78131,1984-08-22T07:00:00.000Z,Aimee,f,Klein,64,N,Cycle,24426971799
77,null,16640424 5406,Bangkok,804,12,Nord-Pas-de-Calais,6233 Suspendisse St.,143351,1978-05-05T07:00:00.000Z,Quyn,m,Charles,12,N,Cycle,82349351999
78,null,16430725 8758,Bangkok,446,84,Metropolitana de Santiago,352 Ligula. Street,35717,1977-05-30T07:00:00.000Z,Mara,m,Marquez,84,Y,Cycle,44876606599
79,1,16041102 3633,Bangkok,416,24,NI,2382 Leo. Road,98800,1984-01-21T08:00:00.000Z,Julian,f,Ball,24,N,Cycle,28967493899
80,null,16810809 8958,Bangkok,614,74,Nevada,"Ap #595-4647 Eu, Avenue",88971,1995-11-13T08:00:00.000Z,Maya,f,Moses,74,N,Cycle,13276477799
81,null,16820416 9281,Bangkok,955,30,Sindh,731-4317 Magna. Avenue,03372,1995-07-11T07:00:00.000Z,Amos,f,Mendez,30,N,4 Wheeler,75348348299
82,4,16310506 5621,Bangkok,446,84,Metropolitana de Santiago,352 Ligula. Street,35717,1979-03-04T08:00:00.000Z,Bree,f,Flynn,84,N,Cycle,9765834399
83,3,16550513 9492,Bangkok,101,67,VIC,Ap #160-3569 In St.,5576,1985-04-29T07:00:00.000Z,Fatima,m,Cox,67,Y,Cycle,1599550699
84,5,16801109 3005,Bangkok,722,99,Gävleborgs län,"8477 Nec, Rd.",209979,1996-06-11T07:00:00.000Z,Chaim,m,Alexander,99,N,Cycle,70472050699
85,2.333329916000366,16790909 7748,Bangkok,210,90,OG,926 Sapien St.,4933,1977-05-29T07:00:00.000Z,Kessie,m,Huber,90,Y,Cycle,12821919899
86,null,16610226 3628,Bangkok,223,33,PK,171-4311 Mi Ave,514372,2000-07-28T07:00:00.000Z,Mason,f,Herrera,33,N,2 Wheeler,64885433199
87,null,16880415 6050,Bangkok,994,93,MA,"P.O. Box 492, 4759 Lorem St.",05479,1992-05-13T07:00:00.000Z,Imani,f,Schultz,93,Y,4 Wheeler,63312896599
88,3,16200707 0234,Bangkok,722,99,Gävleborgs län,"8477 Nec, Rd.",209979,1975-11-10T08:00:00.000Z,Cynthia,m,Webb,99,N,2 Wheeler,17274493499
89,null,16040705 4139,Bangkok,734,11,RI,"5673 Sapien, Street",98740,1977-07-31T07:00:00.000Z,Athena,m,Gilliam,11,N,4 Wheeler,89245096799
90,2.5,16340224 8854,Bangkok,390,39,Wielkopolskie,"P.O. Box 339, 2676 Euismod St.",56979,1986-11-24T08:00:00.000Z,Orli,m,Calhoun,39,Y,Cycle,98541309099
91,2,16690826 0083,Bangkok,819,14,AB,Ap #770-3826 Ac St.,H98 4AX,1987-08-16T07:00:00.000Z,Shad,f,Jones,14,Y,2 Wheeler,6861605699
92,1.5,16980523 7725,Bangkok,80,40,AB,"P.O. Box 447, 6007 Sem. Ave",3304,1982-03-14T08:00:00.000Z,Zia,f,Reid,40,N,2 Wheeler,53653489499
93,3,16360927 5544,Bangkok,924,32,Sląskie,"P.O. Box 506, 7320 Feugiat Road",86-234,1991-01-01T08:00:00.000Z,Daphne,m,Rodgers,32,N,2 Wheeler,59921193099
94,null,16610914 1546,Bangkok,750,73,BR,900 In Rd.,63-246,1979-05-24T07:00:00.000Z,Russell,f,Kelley,73,N,Cycle,91269058499
95,null,16230521 1761,Bangkok,155,55,Noord Brabant,Ap #383-9931 Tincidunt Rd.,67077-66043,1987-01-30T08:00:00.000Z,Dai,m,Saunders,55,N,4 Wheeler,45705311999
96,2.799999952316284,16960202 0449,Bangkok,416,24,NI,2382 Leo. Road,98800,1976-09-20T07:00:00.000Z,Jin,m,Mullins,24,Y,4 Wheeler,47975530099
97,3,16440419 1910,Bangkok,894,13,SO,"P.O. Box 665, 5475 Interdum. St.",19048,1996-05-25T07:00:00.000Z,Ahmed,m,Mathews,13,N,4 Wheeler,95804172799
98,1,16650212 8470,Bangkok,135,54,Maule,"P.O. Box 225, 9913 Quam Avenue",13380,1995-11-27T08:00:00.000Z,Vera,m,York,54,Y,4 Wheeler,58897597299
99,1,16090301 9669,Bangkok,453,16,RP,733-5508 Enim. Rd.,22855,1993-11-06T08:00:00.000Z,Quin,m,Thompson,16,Y,2 Wheeler,76770136299
100,4,16270706 6201,Bangkok,336,52,Rio de Janeiro,Ap #581-3556 Ullamcorper Street,66030,1977-06-13T07:00:00.000Z,Martha,f,Frazier,52,Y,Cycle,80465587399
